clube;sigla;clube_arq2
América - MG;AME;América-MG
Atlético - MG;CAM;Atlético-MG
Atlético - PR;CAP;Atlético-PR
Bahia - BA;BAH;Bahia
Botafogo - RJ;BOT;Botafogo
Ceará - CE;CEA;Ceará
Chapecoense - SC;CHA;Chapecoense
Corinthians - SP;COR;Corinthians
Cruzeiro - MG;CRU;Cruzeiro
Flamengo - RJ;FLA;Flamengo
Fluminense - RJ;FLU;Fluminense
Grêmio - RS;GRE;Grêmio
Internacional - RS;INT;Internacional
Palmeiras - SP;PAL;Palmeiras
Paraná - PR;PAR;Paraná
Santos - SP;SAN;Santos
São Paulo - SP;SAO;São Paulo
Sport - PE;SPO;Sport
Vasco da Gama - RJ;VAS;Vasco
Vitória - BA;VIT;Vitória
